"Season","Team","Conference","StatName","StatValue"
"2024","Kansas State","Big 12","passAttempts","131"
"2024","Baylor","Big 12","penalties","36"
"2024","Arizona","Big 12","interceptions","6"
"2024","Iowa State","Big 12","rushingTDs","9"
"2024","Kansas","Big 12","interceptions","8"
"2024","Iowa State","Big 12","kickReturns","1"
"2024","BYU","Big 12","puntReturns","8"
"2024","Baylor","Big 12","interceptionYards","82"
"2024","Arizona State","Big 12","passCompletions","80"
"2024","Cincinnati","Big 12","turnovers","7"
"2024","BYU","Big 12","passAttempts","151"
"2024","Kansas State","Big 12","interceptions","4"
"2024","Colorado","Big 12","possessionTime","8647"
"2024","Kansas State","Big 12","rushingTDs","7"
"2024","Arizona","Big 12","games","12"
"2024","West Virginia","Big 12","thirdDownConversions","24"
"2024","UCF","Big 12","passCompletions","70"
"2024","Iowa State","Big 12","kickReturnYards","18"
"2024","Cincinnati","Big 12","kickReturnYards","151"
"2024","Utah","Big 12","rushingYards","909"
"2024","Texas Tech","Big 12","totalYards","2766"
"2024","TCU","Big 12","puntReturnTDs","1"
"2024","Kansas State","Big 12","totalYards","2164"
"2024","Kansas State","Big 12","interceptionTDs","0"
"2024","Baylor","Big 12","passAttempts","186"
"2024","Iowa State","Big 12","turnovers","4"
"2024","Cincinnati","Big 12","rushingAttempts","174"
"2024","BYU","Big 12","puntReturnYards","125"
"2024","Houston","Big 12","rushingAttempts","210"
"2024","Cincinnati","Big 12","sacks","9"
"2024","Kansas State","Big 12","penaltyYards","174"
"2024","UCF","Big 12","puntReturnTDs","0"
"2024","Colorado","Big 12","passCompletions","138"
"2024","Arizona","Big 12","fourthDownConversions","3"
"2024","Oklahoma State","Big 12","interceptionYards","127"
"2024","Oklahoma State","Big 12","puntReturnYards","34"
"2024","Arizona State","Big 12","netPassingYards","1027"
"2024","Iowa State","Big 12","puntReturns","8"
"2024","Kansas","Big 12","thirdDowns","78"
"2024","Texas Tech","Big 12","possessionTime","10459"
"2024","UCF","Big 12","rushingTDs","15"
"2024","Kansas","Big 12","fourthDowns","9"
"2024","Oklahoma State","Big 12","rushingYards","534"
"2024","Baylor","Big 12","tacklesForLoss","33"
"2024","Baylor","Big 12","rushingTDs","7"
"2024","Iowa State","Big 12","passesIntercepted","8"
