"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","LineProvider","OverUnder","Spread","FormattedSpread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401644735","Central Michigan","37","Ball State","34","Bovada","51.0","-6.5","Central Michigan -6.5","-6.5","53.0","-245","205"
"401644735","Central Michigan","37","Ball State","34","ESPN Bet","49.5","-5.5","Central Michigan -5.5","-6.5","52.5","-230","195"
"401644735","Central Michigan","37","Ball State","34","DraftKings","50.5","-6.5","Central Michigan -6.5","","","-218","180"
"401655634","Lindenwood","64","St. Thomas (MN)","0","ESPN Bet","47.5","-4.5","Lindenwood -4.5","","","",""
"401643715","Temple","45","Utah State","29","DraftKings","53.5","6.5","Utah State -6.5","","","195","-238"
"401643715","Temple","45","Utah State","29","Bovada","53.5","6.5","Utah State -6.5","6.0","52.0","205","-245"
"401643715","Temple","45","Utah State","29","ESPN Bet","53.5","6.5","Utah State -6.5","6.5","52.5","210","-250"
"401654471","Merrimack","14","Dartmouth","16","ESPN Bet","43.5","11.5","Dartmouth -11.5","","","",""
"401628632","Elon","17","Richmond","27","ESPN Bet","46.5","0","Richmond -0","","","",""
"401677764","Montana State","52","Mercyhurst","13","ESPN Bet","59.5","-49.5","Montana State -49.5","","","",""
"401638662","Morehead State","17","Valparaiso","5","ESPN Bet","49.5","-1","Morehead State -1","","","",""
"401629042","Massachusetts","35","Central Connecticut","31","DraftKings","52","-19.5","Massachusetts -19.5","","52.5","-1200","750"
"401629042","Massachusetts","35","Central Connecticut","31","ESPN Bet","51.5","-19.5","Massachusetts -19.5","-20","52.5","-1200","750"
"401633980","Tennessee Tech","24","Tennessee State","14","ESPN Bet","54.5","-6.5","Tennessee Tech -6.5","","","",""
"401635565","Syracuse","42","Holy Cross","14","ESPN Bet","59.5","-31.5","Syracuse -31.5","-28.5","56.5","-4000","1800"
"401635565","Syracuse","42","Holy Cross","14","DraftKings","59.5","-30","Syracuse -30","","58.5","",""
"401628621","Delaware","29","Pennsylvania","22","ESPN Bet","51.5","-13","Delaware -13","","","",""
"401628622","Elon","14","East Tennessee State","34","ESPN Bet","48.5","-7.5","Elon -7.5","","","",""
"401634779","UNLV","41","Syracuse","44","DraftKings","55.5","-5.5","UNLV -5.5","-4","","-218","180"
"401634779","UNLV","41","Syracuse","44","Bovada","55.5","-5.5","UNLV -5.5","-5.5","58","-250","210"
"401634779","UNLV","41","Syracuse","44","ESPN Bet","54.5","-5.5","UNLV -5.5","-4.5","57.5","-210","175"
"401641034","Sam Houston","31","New Mexico State","11","Bovada","44.5","-15.5","Sam Houston -15.5","","","-750","500"
"401641034","Sam Houston","31","New Mexico State","11","DraftKings","44.5","-15","Sam Houston -15","","","-700","500"
"401641034","Sam Houston","31","New Mexico State","11","ESPN Bet","43.5","-14.5","Sam Houston -14.5","-14","43.5","-700","500"
"401641037","Western Kentucky","26","Toledo","21","DraftKings","60.5","2","Toledo -2","","","102","-122"
"401641037","Western Kentucky","26","Toledo","21","Bovada","61.0","2.5","Toledo -2.5","1.0","59.0","110","-130"
"401641037","Western Kentucky","26","Toledo","21","ESPN Bet","60.5","2.5","Toledo -2.5","-1","58.5","115","-135"
"401656601","Pennsylvania","27","Colgate","17","ESPN Bet","49.5","-10.5","Pennsylvania -10.5","","","",""
"401634146","Wofford","3","Mercer","22","ESPN Bet","46.5","6.5","Mercer -6.5","","","",""
"401635567","Virginia","24","Boston College","14","DraftKings","52.5","-2","Virginia -2","-2.5","","-122","102"
"401635567","Virginia","24","Boston College","14","ESPN Bet","53.5","-1.5","Virginia -1.5","-3","50.5","-125","105"
"401635567","Virginia","24","Boston College","14","Bovada","52.5","-2.0","Virginia -2.0","-3.5","50","-145","125"
